"filename", "language", "YAML", "Dart", "Markdown", "C++", "Swift", "HTML", "JSON", "Java Properties", "XML", "Gradle", "Kotlin", "comment", "blank", "total"
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 5, 12, 68
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 1, 39
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\android\app\src\main\kotlin\com\example\sist_nav_connect\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
