Date : 2024-03-24 09:32:46
Directory : d:\Projects\college_projects\SIST_Nav_Connect\sist_nav_connect
Total : 61 files,  2894 codes, 346 comments, 378 blanks, all 3618 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         34 |      2,374 |        242 |        301 |      2,917 |
| JSON            |          4 |        185 |          0 |          3 |        188 |
| XML             |          9 |        125 |         48 |         11 |        184 |
| Gradle          |          3 |         94 |          5 |         22 |        121 |
| HTML            |          1 |         38 |         16 |          6 |         60 |
| YAML            |          2 |         33 |         33 |         14 |         80 |
| Swift           |          2 |         19 |          2 |          6 |         27 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
| Kotlin          |          1 |          4 |          0 |          3 |          7 |
| C++             |          1 |          1 |          0 |          1 |          2 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |         61 |      2,894 |        346 |        378 |      3,618 |
| . (Files)                                                                                                                               |          4 |         48 |         33 |         21 |        102 |
| android                                                                                                                                 |         13 |        170 |         51 |         36 |        257 |
| android (Files)                                                                                                                         |          3 |         46 |          0 |         11 |         57 |
| android\app                                                                                                                             |          9 |        119 |         51 |         24 |        194 |
| android\app (Files)                                                                                                                     |          1 |         51 |          5 |         12 |         68 |
| android\app\src                                                                                                                         |          8 |         68 |         46 |         12 |        126 |
| android\app\src\debug                                                                                                                   |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                                    |          6 |         62 |         38 |         10 |        110 |
| android\app\src\main (Files)                                                                                                            |          1 |         32 |          6 |          1 |         39 |
| android\app\src\main\kotlin                                                                                                             |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com                                                                                                         |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example                                                                                                 |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example\sist_nav_connect                                                                                |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                                                                |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                       |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                   |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                         |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                   |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                 |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                                          |          1 |          5 |          0 |          1 |          6 |
